Resolution,Pixel Size,Bottleneck Dist 0,Bottleneck Dist 1
4,1260.0,521.7934485202702,441.2870444877939
5,1008.0,521.7934485202702,441.2870444877939
6,840.0,521.7934485202702,441.2870444877939
7,720.0,521.7934485202702,441.2870444877939
8,630.0,521.7934485202702,441.2870444877939
9,560.0,364.0,840.0
10,504.0,521.7934485202702,441.2870444877939
12,420.0,367.0934605370097,506.98484809834997
14,360.0,468.99922958351806,360.0
15,336.0,504.0,336.0
16,315.0,510.71590822128735,315.0
18,280.0,476.4373932405988,280.0
20,252.0,512.95454429505,252.0
21,240.0,878.9466384404111,252.01986667839975
24,210.0,546.0,243.0397333567995
28,180.0,132.0435842982693,180.0
30,168.0,153.58787847868,168.0
35,144.0,187.59969183340723,144.0
36,140.0,151.3594362117866,140.0
40,126.0,164.14973035423134,126.0
42,120.0,156.33307652783935,120.0
45,112.0,181.58787847867995,112.0
48,105.0,170.23863607376245,108.69370603740299
56,90.0,235.65215186524497,113.3468530187015
60,84.0,238.0059956645433,113.3468530187015
63,80.0,265.65215186524495,113.3468530187015
70,72.0,246.67709696041007,113.3468530187015
72,70.0,255.22642714020085,113.3468530187015
80,63.0,244.2990748899176,113.3468530187015
84,60.0,254.26713241964424,113.3468530187015
90,56.0,260.82790882260485,113.3468530187015
105,48.0,30.890457520287924,48.0
112,45.0,30.890457520287924,45.0
120,42.0,30.890457520287924,42.0
126,40.0,30.890457520287924,40.0
140,36.0,30.890457520287924,36.0
144,35.0,22.958405421207704,22.0
168,30.0,30.890457520287924,30.0
180,28.0,30.890457520287924,28.0
210,24.0,15.798194964829264,12.0
240,21.0,12.231130495407953,12.0
252,20.0,9.73932046178355,13.425911024412272
280,18.0,10.063355171441259,7.271804821456172
315,16.0,10.310678988363236,6.688820407423826
336,15.0,11.310678988363236,9.0
360,14.0,9.652151865244974,6.723478758647246
420,12.0,7.133297823679285,6.9068531892233835
504,10.0,6.310678988363236,4.792027106038518
560,9.0,5.310678988363236,5.0
630,8.0,4.484486465844505,4.888543819998318
720,7.0,3.06984706922168,3.671747731346578
840,6.0,2.8778224063436255,3.0
1008,5.0,2.5694148015005354,3.4259110244122724
1260,4.0,2.310678988363236,2.0962170392376294
1680,3.0,1.6521518652449743,1.3573063039939584
2520,2.0,0.836660888469055,0.836660888469055
5040,1.0,0.0,0.0
